*,foliohog,factor,s_jefe,edad_jefe,tot_integ,hombres,mujeres,mayores,menores,p65mas,percep_ing,ing_cor,ingtrab,transfer,alimentos,bebidas,vestido,calzado,limpieza,salud,hospital,medicinas,transporte
360082311,1,44,1,42,1,1,0,1,0,0,1,63305.73,,0,10324.15,4924.21,1115.21,1369.56,653.2,0,0,0,5293.65
204529906,1,685,1,50,4,2,2,4,0,0,1,54624.81,40108.69,0,10234.14,0,0,0,667.72,0,0,0,11871.28
1561125509,1,441,2,57,2,1,1,2,0,0,2,45532.51,38274.45,0,10028.47,385.7,1340.2,0,708.35,0,0,0,3203.48
1518453002,1,1633,2,38,3,1,2,3,0,0,3,123894.28,70906.3,12342.82,18179.8,218.57,0,0,566.11,1213.03,0,39.13,10416.27
1507481605,1,2282,2,33,1,0,1,1,0,0,1,30058.64,11471.31,7187.33,,462.85,0,0,1247.65,943.99,0,386.4,4252.65
1103301905,1,738,1,45,6,3,3,3,3,0,1,26041.28,25141.29,899.99,16733.28,179.99,342.37,1741.29,8687.98,342.38,0,0,4307.54
2501234605,2,222,1,23,3,1,2,2,1,0,1,33259.94,30688.52,2571.42,19098.97,2185.69,1134.76,0,606,264.1,0,0,2250
760974314,1,956,1,35,6,3,3,5,1,0,3,23078.4,19992.69,3085.71,7354.18,192.85,0,0,804.17,0,0,0,3289.71
2806886701,1,502,2,52,2,1,1,2,0,0,2,23729.49,16229.49,0,3664.26,565.7,391.3,0,1314,456.83,0,34.23,3497.13
1501554202,1,2182,1,39,1,1,0,1,0,0,1,152626.26,0,0,19787,1799.95,1614.12,1349.99,1103.19,37.17,0,37.17,
2403892505,1,427,1,68,5,2,3,5,0,1,5,69363.38,65298.87,0,19542.63,2622.84,1565.19,733.68,2173.66,1633.67,0,361.95,6692.47
960019213,1,23,2,70,1,0,1,1,0,1,1,14286.41,0,13415.45,4821.32,205.71,0,0,1085.76,0,0,0,1285.68
2504346911,1,202,1,61,5,3,2,5,0,0,2,76620.04,0,73716.82,7225.63,1041.41,2592.35,391.3,2923.98,1369.54,1369.54,0,50283.66
1160719916,1,368,2,22,3,2,1,1,2,0,2,57887.77,0,55565.19,15235.58,1877.12,929.34,763.04,11869.84,440.2,0,440.2,2266.03
101752701,1,189,1,74,2,1,1,2,0,1,2,28301.22,0,19301.22,3664.22,0,0,0,648,469.55,0,107.6,3900
1900147006,1,671,1,53,4,3,1,4,0,0,3,49586.39,39756.91,2571.42,17845.54,1645.68,586.94,342.39,2025.88,97.82,0,0,4128.23
2403508920,1,291,1,60,5,2,3,3,2,0,2,248500.37,232955.68,1028.57,11506.98,977.13,3414.09,904.88,7774.45,5135.85,831.52,1369.56,39330.81
1100301404,1,827,1,53,3,2,1,3,0,0,1,103765.04,92152.14,0,41290.46,1844.98,1506.49,733.68,6688.05,190.74,0,190.74,18975.68
2201996806,1,263,2,29,5,3,2,2,3,0,1,44262.29,44262.29,0,12715.61,372.85,0,3032.59,1917,97.82,0,97.82,4767
805726405,1,366,1,47,3,1,2,2,1,0,1,41399.35,34141.29,0,15505.51,2185.66,1594.52,2015.2,1823.99,459.76,0,0,5571.18
2606413624,1,507,1,80,2,1,1,2,0,2,2,45619.62,9344.25,21275.37,8832.75,218.57,0,0,3218.21,0,0,0,0
3060580723,1,457,1,58,2,1,1,2,0,1,2,82426.21,0,76426.21,11770.54,462.85,586.95,0,1551,1526.08,0,1526.08,1500
703867820,1,609,2,49,3,1,2,3,0,0,2,32606.53,23606.55,8999.98,5952.69,424.27,293.47,0,1552.95,94.89,0,94.89,118.03
502668306,1,362,1,78,5,2,3,3,2,2,3,57133.56,14673.91,33749.98,10465.59,1799.96,0,1760.85,3348.45,0,0,0,3810.93
300936803,1,132,2,67,1,0,1,1,0,1,1,24754.91,17704.91,1050,8426.09,1285.7,0,0,803.36,552.7,0,132.06,2958.62
260256013,1,53,1,48,6,3,3,5,1,0,4,,60072.16,0,14526.2,385.7,3316.27,1183.68,1709.97,2005.43,2005.43,0,12282.12
1405391701,1,928,1,36,1,1,0,1,0,0,1,23339.57,17339.57,0,2333.52,231.42,0,0,252,0,0,0,1234.28
2061982202,1,294,1,26,3,1,2,2,1,0,1,15138.68,6233.36,195.65,8087.04,449.99,489.13,0,647.39,224.99,0,0,2043.64
2105442703,1,841,2,51,4,1,3,4,0,0,3,54028.65,39950.13,5078.52,12445.57,809.99,489.13,0,0,464.65,0,73.36,5517.84
206587806,1,650,1,43,3,2,1,3,0,0,3,76475.39,59213.1,2262.29,24466.95,1542.84,733.69,586.95,279,0,0,0,10649.95
506386721,1,190,2,66,5,1,4,5,0,2,4,436825.91,47606.53,371219.38,29005.51,1941.41,6436.93,0,40129.41,7933.64,0,1379.31,91564.52
